match_no,date,team1,team2,predicted_winner,actual_winner,confidence_pct,correct
335982,02-Apr-2008,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,58.3,0
335983,03-Apr-2008,Chennai Super Kings,Punjab Kings,Punjab Kings,Chennai Super Kings,51.6,0
335984,04-Apr-2008,Rajasthan Royals,Delhi Capitals,Delhi Capitals,Delhi Capitals,52.6,1
335985,05-Apr-2008,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,Royal Challengers Bangalore,52.8,1
335986,06-Apr-2008,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,Kolkata Knight Riders,50.8,1
335987,07-Apr-2008,Punjab Kings,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,53.0,1
335988,08-Apr-2008,Deccan Chargers,Delhi Capitals,Delhi Capitals,Delhi Capitals,56.2,1
335989,09-Apr-2008,Chennai Super Kings,Mumbai Indians,Mumbai Indians,Chennai Super Kings,60.8,0
335990,10-Apr-2008,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,63.3,1
335991,11-Apr-2008,Punjab Kings,Mumbai Indians,Mumbai Indians,Punjab Kings,55.3,0
335992,12-Apr-2008,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,Rajasthan Royals,52.3,1
335993,13-Apr-2008,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,Chennai Super Kings,55.7,1
335994,14-Apr-2008,Mumbai Indians,Deccan Chargers,Deccan Chargers,Deccan Chargers,50.5,1
335995,15-Apr-2008,Delhi Capitals,Punjab Kings,Punjab Kings,Punjab Kings,51.9,1
335996,16-Apr-2008,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,51.8,1
335997,17-Apr-2008,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,Mumbai Indians,50.4,1
335998,18-Apr-2008,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,Delhi Capitals,58.6,0
335999,19-Apr-2008,Deccan Chargers,Punjab Kings,Punjab Kings,Punjab Kings,62.9,1
